category_dataset,grupo_ecoicop,codigo_ecoicop,descripcion_ecoicop
Food & Beverage,Alimentos y bebidas no alcohólicas,01,Incluye productos alimentarios y bebidas sin alcohol
Clothing,Vestido y calzado,03,Prendas de vestir y servicios de confección
Shoes,Vestido y calzado,03,Calzado y reparación de calzado
Technology,Comunicaciones,08,Equipos y servicios telefónicos y de comunicación
Cosmetics,Otros bienes y servicios,12,Cuidado personal y efectos personales
Books,Ocio y cultura,09,Libros y material de lectura
Toys,Ocio y cultura,09,Juegos y juguetes
Souvenir,Otros bienes y servicios,12,Artículos diversos y regalos
